Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
130170405000057,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,1,20,20,0,0,0,NA,NA,0,0,NA,NA,NA
130170405000058,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,29,183,6.31,6.72,286.9,199079.31,640,219700,121.33,85972.45,594.5,142805,NA
130170405000059,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704000,HUMAITÁ (demais setores),8,0,61,311,5.1,8.59,123.11,72441.8,577.69,77719.23,44.25,26002.3,478.73,75554.87,NA
130170405000061,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704009,Centro,1,0,24,84,3.5,4.52,1888.75,1862590.2,1970.87,1778049.75,930.8,1537017.92,1530.64,1611032.64,NA
130170405000062,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704009,Centro,1,0,245,1008,4.11,5.8,1176.51,11082207.53,1501.28,13667259.21,752.1,4851321.77,1259.99,7492733.25,NA
130170405000063,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704006,Santo Antônio,1,0,106,482,4.55,6.04,711.64,3924697.43,1093.25,5636871.31,394.56,1211331.36,832.06,2195544.94,NA
130170405000064,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704008,São José,1,0,52,219,4.21,4.37,1122.62,975613.42,1144.63,969426.16,553.32,635449.93,883.38,723703.09,NA
130170405000065,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704006,Santo Antônio,1,0,79,421,5.33,5.66,604.9,391568.73,770.76,370761.33,273.66,210180.01,648.04,255417.06,NA
130170405000066,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704003,São Pedro,1,0,1,1,1,0,1e3,0,1e3,0,1e3,0,1e3,0,NA
130170405000067,1,Região Norte,13,Amazonas,1304,Sul Amazonense,13013,Madeira,00,Municípios não pertencentes a estrutura de RM,1301704,HUMAITÁ,130170405,HUMAITÁ,13017040500,HUMAITÁ,1301704003,São Pedro,1,0,80,220,2.75,3.2,915.24,551426.56,950.9,538839.62,500.72,487879.32,905.64,515949.69,NA
